event_name,type,playerAName,associationPlayer_A,playerBName,associationPlayer_B,playerXName,associationPlayer_X,playerYName,associationPlayer_Y,stage,matchDateTime,setsWon_A,setsWon_X,pointTotal_A,pointTotal_X,set1_AB,set1_XY,set2_AB,set2_XY,set3_AB,set3_XY
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,1.0,2020-02-23T14:00:00,2,0,24,9,12,3,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Andres Berriel,Uruguay,Nancy Avesyan,United States,1.0,2020-02-23T13:00:00,2,0,24,11,12,5,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Cassiano  Machado,Brazil,Eriel Almada,Brazil,1.0,2020-02-23T13:00:00,2,0,24,14,12,5,12,9,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,1.0,2020-02-23T13:00:00,0,2,15,24,10,12,5,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Juliane  Braga,Brazil,Oscar Reyes,United States,1.0,2020-02-23T13:00:00,2,1,35,23,12,5,11,12,12,6
Los Angeles Challenger Cup 2020,DoublesFree,Joao Argolo,United States,Jose  Vidal,Argentina,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T12:00:00,0,2,0,24,0,12,0,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Daniel Gaspar,Brazil,Leah Morales,United States,Joao Barreto,Brazil,Thiago Lusardi,Brazil,0.0,2020-02-23T12:00:00,0,2,18,24,7,12,11,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Davin  Randall,United States,Kyle  Rilley,United States,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T12:00:00,2,0,24,19,12,10,12,9,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,0.0,2020-02-23T12:00:00,2,0,24,14,12,6,12,8,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T12:00:00,2,0,24,12,12,6,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Joao Argolo,United States,Jose  Vidal,Argentina,0.0,2020-02-23T12:00:00,2,0,24,0,12,0,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T12:00:00,2,0,24,9,12,4,12,5,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Davin  Randall,United States,Kyle  Rilley,United States,0.0,2020-02-23T12:00:00,2,0,24,12,12,6,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Daniel Gaspar,Brazil,Leah Morales,United States,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T11:00:00,2,1,34,31,12,8,9,12,13,11
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Joao Barreto,Brazil,Thiago Lusardi,Brazil,0.0,2020-02-23T11:00:00,0,2,20,24,11,12,9,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Jay  Vasquez,United States,Zaven  Ruvalcaba,United States,Cassiano  Machado,Brazil,Eriel Almada,Brazil,0.0,2020-02-23T11:00:00,0,1,6,12,6,12,0,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Goerge Escobar,United States,Martin Gonzalez,United States,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,0.0,2020-02-23T11:00:00,1,2,22,35,5,12,12,11,5,12
Los Angeles Challenger Cup 2020,DoublesFree,Juliane  Braga,Brazil,Oscar Reyes,United States,Lincoln Maitlen,United States,Tanner  Gill,United States,0.0,2020-02-23T11:00:00,2,0,24,3,12,3,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Andres Berriel,Uruguay,Nancy Avesyan,United States,Andre  Balatka,United States,Mikayla  Abrenica,United States,0.0,2020-02-23T11:00:00,2,0,24,9,12,6,12,3,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Abraham Romero,United States,Jorge  Hernandez,United States,1.0,2020-02-23T14:00:00,2,0,24,18,12,11,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,Abraham Romero,United States,Jorge  Hernandez,United States,1.0,2020-02-23T15:00:00,0,2,11,24,4,12,7,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Joao Barreto,Brazil,Thiago Lusardi,Brazil,1.0,2020-02-23T16:00:00,2,0,24,18,12,9,12,9,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T11:00:00,2,0,24,14,12,7,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,0.0,2020-02-23T11:00:00,2,0,24,6,12,5,12,1,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Daniel Gaspar,Brazil,Leah Morales,United States,Joao Argolo,United States,Jose  Vidal,Argentina,0.0,2020-02-23T10:00:00,2,0,24,0,12,0,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T10:00:00,2,0,24,15,12,8,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Jay  Vasquez,United States,Zaven  Ruvalcaba,United States,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,0.0,2020-02-23T10:00:00,0,2,11,24,8,12,3,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Goerge Escobar,United States,Martin Gonzalez,United States,Cassiano  Machado,Brazil,Eriel Almada,Brazil,0.0,2020-02-23T10:00:00,1,2,23,31,5,12,12,7,6,12
Los Angeles Challenger Cup 2020,DoublesFree,Juliane  Braga,Brazil,Oscar Reyes,United States,Andre  Balatka,United States,Mikayla  Abrenica,United States,0.0,2020-02-23T10:00:00,2,0,24,15,12,5,12,10,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Andres Berriel,Uruguay,Nancy Avesyan,United States,Lincoln Maitlen,United States,Tanner  Gill,United States,0.0,2020-02-23T10:00:00,2,0,24,13,12,7,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Davin  Randall,United States,Kyle  Rilley,United States,0.0,2020-02-23T10:00:00,2,0,24,13,12,6,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T10:00:00,2,0,24,5,12,1,12,4,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Joao Argolo,United States,Jose  Vidal,Argentina,0.0,0001-01-01T00:00:00,2,0,24,0,12,0,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Daniel Gaspar,Brazil,Leah Morales,United States,0.0,0001-01-01T00:00:00,2,0,24,13,12,6,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Cassiano  Machado,Brazil,Eriel Almada,Brazil,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,0.0,0001-01-01T00:00:00,1,2,21,33,12,9,2,12,7,12
Los Angeles Challenger Cup 2020,DoublesFree,Goerge Escobar,United States,Martin Gonzalez,United States,Jay  Vasquez,United States,Zaven  Ruvalcaba,United States,0.0,0001-01-01T00:00:00,2,0,24,19,12,11,12,8,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Andres Berriel,Uruguay,Nancy Avesyan,United States,Juliane  Braga,Brazil,Oscar Reyes,United States,0.0,0001-01-01T00:00:00,2,1,35,27,11,12,12,9,12,6
Los Angeles Challenger Cup 2020,DoublesFree,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,Davin  Randall,United States,Kyle  Rilley,United States,0.0,0001-01-01T00:00:00,2,0,24,13,12,5,12,8,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Abraham Romero,United States,Jorge  Hernandez,United States,0.0,0001-01-01T00:00:00,2,0,24,17,12,6,12,11,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Lincoln Maitlen,United States,Tanner  Gill,United States,Andre  Balatka,United States,Mikayla  Abrenica,United States,0.0,0001-01-01T00:00:00,0,2,20,24,11,12,9,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Marek Pokwap,Poland,,,Maciej Soldan,Poland,,,0.0,2020-11-07T08:00:00,2,0,24,3,12,1,12,2,0,0
Polish Challenger Series - Round 2,SinglesFree,Piotr Cygan,Poland,,,Marek Pokwap,Poland,,,0.0,2020-11-07T08:30:00,1,2,31,35,8,12,12,10,11,13
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Maciej Soldan,Poland,,,0.0,2020-11-07T09:00:00,2,0,24,2,12,0,12,2,0,0
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Marek Pokwap,Poland,,,0.0,2020-11-07T09:30:00,2,0,24,10,12,8,12,2,0,0
Polish Challenger Series - Round 2,SinglesFree,Piotr Cygan,Poland,,,Maciej Soldan,Poland,,,0.0,2020-11-07T09:30:00,2,0,24,9,12,4,12,5,0,0
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Piotr Cygan,Poland,,,0.0,2020-11-07T10:00:00,2,0,24,2,12,2,12,0,0,0
Polish Challenger Series - Round 2,SinglesFree,Piotr Pinkiewicz,Poland,,,Grzegorz Staskiewicz,Poland,,,0.0,2020-11-07T08:00:00,0,2,11,24,5,12,6,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Przemyslaw Mistrzak,Poland,,,Bartosz Januszewski,Poland,,,0.0,2020-11-07T08:00:00,0,2,18,24,8,12,10,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Patryk Kaminski,Poland,,,Grzegorz Staskiewicz,Poland,,,0.0,2020-11-07T08:30:00,2,1,32,27,8,12,12,8,12,7
Polish Challenger Series - Round 2,SinglesFree,Piotr Pinkiewicz,Poland,,,Przemyslaw Mistrzak,Poland,,,0.0,2020-11-07T08:30:00,0,2,14,24,11,12,3,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Patryk Kaminski,Poland,,,Bartosz Januszewski,Poland,,,0.0,2020-11-07T09:00:00,2,0,24,15,12,6,12,9,0,0
Polish Challenger Series - Round 2,SinglesFree,Przemyslaw Mistrzak,Poland,,,Grzegorz Staskiewicz,Poland,,,0.0,2020-11-07T09:00:00,0,2,14,24,6,12,8,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Patryk Kaminski,Poland,,,Przemyslaw Mistrzak,Poland,,,0.0,2020-11-07T09:30:00,2,0,24,8,12,6,12,2,0,0
Polish Challenger Series - Round 2,SinglesFree,Piotr Pinkiewicz,Poland,,,Bartosz Januszewski,Poland,,,0.0,2020-11-07T09:30:00,0,2,10,24,7,12,3,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Patryk Kaminski,Poland,,,Piotr Pinkiewicz,Poland,,,0.0,2020-11-07T10:00:00,2,0,24,2,12,1,12,1,0,0
Polish Challenger Series - Round 2,SinglesFree,Bartosz Januszewski,Poland,,,Grzegorz Staskiewicz,Poland,,,0.0,2020-11-07T10:00:00,1,2,28,30,7,12,12,6,9,12
Polish Challenger Series - Round 2,SinglesFree,Karol Ziolkowski,Poland,,,Franciszek Mrzyglod,Poland,,,0.0,2020-11-07T08:15:00,0,2,21,24,11,12,10,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Franciszek Tusinski,Poland,,,Konrad Nowicki,Poland,,,0.0,2020-11-07T08:15:00,0,2,13,24,6,12,7,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Franciszek Mrzyglod,Poland,,,0.0,2020-11-07T08:45:00,2,0,24,12,12,5,12,7,0,0
Polish Challenger Series - Round 2,SinglesFree,Karol Ziolkowski,Poland,,,Franciszek Tusinski,Poland,,,0.0,2020-11-07T08:45:00,1,2,32,32,9,12,12,7,11,13
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Konrad Nowicki,Poland,,,0.0,2020-11-07T09:15:00,2,0,24,15,12,9,12,6,0,0
Polish Challenger Series - Round 2,SinglesFree,Franciszek Tusinski,Poland,,,Franciszek Mrzyglod,Poland,,,0.0,2020-11-07T09:15:00,2,0,24,18,12,10,12,8,0,0
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Franciszek Tusinski,Poland,,,0.0,2020-11-07T09:45:00,2,0,24,6,12,3,12,3,0,0
Polish Challenger Series - Round 2,SinglesFree,Karol Ziolkowski,Poland,,,Konrad Nowicki,Poland,,,0.0,2020-11-07T09:45:00,0,2,8,24,2,12,6,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Karol Ziolkowski,Poland,,,0.0,2020-11-07T10:15:00,2,0,24,9,12,3,12,6,0,0
Polish Challenger Series - Round 2,SinglesFree,Konrad Nowicki,Poland,,,Franciszek Mrzyglod,Poland,,,0.0,2020-11-07T10:15:00,2,1,32,26,12,7,8,12,12,7
Polish Challenger Series - Round 2,SinglesFree,Bartosz  Targas,Poland,,,Radoslaw Pyffel,Poland,,,0.0,2020-11-07T08:15:00,2,0,24,20,12,10,12,10,0,0
Polish Challenger Series - Round 2,SinglesFree,Karol Polesiak,Poland,,,Bartlomiej Franczuk,Poland,,,0.0,2020-11-07T08:15:00,0,2,12,24,6,12,6,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Jan Ochedalski,Poland,,,Radoslaw Pyffel,Poland,,,0.0,2020-11-07T08:45:00,2,0,24,8,12,5,12,3,0,0
Polish Challenger Series - Round 2,SinglesFree,Bartosz  Targas,Poland,,,Karol Polesiak,Poland,,,0.0,2020-11-07T08:45:00,1,2,27,33,12,9,7,12,8,12
Polish Challenger Series - Round 2,SinglesFree,Jan Ochedalski,Poland,,,Bartlomiej Franczuk,Poland,,,0.0,2020-11-07T09:15:00,0,2,16,24,8,12,8,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Karol Polesiak,Poland,,,Radoslaw Pyffel,Poland,,,0.0,2020-11-07T09:15:00,2,1,35,14,12,1,11,12,12,1
Polish Challenger Series - Round 2,SinglesFree,Jan Ochedalski,Poland,,,Karol Polesiak,Poland,,,0.0,2020-11-07T09:45:00,0,2,16,24,11,12,5,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Bartosz  Targas,Poland,,,Bartlomiej Franczuk,Poland,,,0.0,2020-11-07T09:45:00,0,2,8,24,3,12,5,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Jan Ochedalski,Poland,,,Bartosz  Targas,Poland,,,0.0,2020-11-07T10:15:00,2,0,24,13,12,6,12,7,0,0
Polish Challenger Series - Round 2,SinglesFree,Bartlomiej Franczuk,Poland,,,Radoslaw Pyffel,Poland,,,0.0,2020-11-07T10:15:00,2,0,24,8,12,2,12,6,0,0
Polish Challenger Series - Round 2,DoublesMixed,Jan Ochedalski,Poland,Nicol Bnyamin,Poland,Alan Galecki,Poland,Justyna Bartman,Poland,0.0,2020-11-07T10:45:00,0,2,15,24,8,12,7,12,0,0
Polish Challenger Series - Round 2,DoublesMixed,Ewa Kaminska,Poland,Patryk Kaminski,Poland,Alan Galecki,Poland,Justyna Bartman,Poland,0.0,2020-11-07T11:00:00,2,1,34,29,10,12,12,11,12,6
Polish Challenger Series - Round 2,DoublesMixed,Ewa Kaminska,Poland,Patryk Kaminski,Poland,Jan Ochedalski,Poland,Nicol Bnyamin,Poland,0.0,2020-11-07T11:15:00,2,0,24,10,12,7,12,3,0,0
Polish Challenger Series - Round 2,DoublesMixed,Bartosz Januszewski,Poland,Klaudia Mindak,Poland,Andzelika  Bloch,Poland,Bartosz  Targas,Poland,0.0,2020-11-07T10:45:00,2,1,35,26,12,8,11,12,12,6
Polish Challenger Series - Round 2,DoublesMixed,Alicja Bartnicka,Poland,Bartlomiej Franczuk,Poland,Andzelika  Bloch,Poland,Bartosz  Targas,Poland,0.0,2020-11-07T11:00:00,2,0,24,19,12,8,12,11,0,0
Polish Challenger Series - Round 2,DoublesMixed,Alicja Bartnicka,Poland,Bartlomiej Franczuk,Poland,Bartosz Januszewski,Poland,Klaudia Mindak,Poland,0.0,2020-11-07T11:15:00,2,0,24,16,12,11,12,5,0,0
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,0.0,2020-11-07T12:45:00,1,2,36,35,10,12,12,7,14,16
Polish Challenger Series - Round 2,DoublesFree,Maciej Soldan,Poland,Radoslaw Pyffel,Poland,Karol Ziolkowski,Poland,Piotr Pinkiewicz,Poland,0.0,2020-11-07T12:45:00,1,2,31,31,12,7,9,12,10,12
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Maciej Soldan,Poland,Radoslaw Pyffel,Poland,0.0,2020-11-07T13:00:00,2,0,24,2,12,0,12,2,0,0
Polish Challenger Series - Round 2,DoublesFree,Konrad Nowicki,Poland,Marek Pokwap,Poland,Karol Ziolkowski,Poland,Piotr Pinkiewicz,Poland,0.0,2020-11-07T13:00:00,2,1,35,23,12,1,11,12,12,10
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Konrad Nowicki,Poland,Marek Pokwap,Poland,0.0,2020-11-07T13:15:00,2,0,24,12,12,6,12,6,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Maciej Soldan,Poland,Radoslaw Pyffel,Poland,0.0,2020-11-07T13:15:00,2,0,24,12,12,7,12,5,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Karol Ziolkowski,Poland,Piotr Pinkiewicz,Poland,0.0,2020-11-07T13:30:00,2,0,24,12,12,9,12,3,0,0
Polish Challenger Series - Round 2,DoublesFree,Konrad Nowicki,Poland,Marek Pokwap,Poland,Maciej Soldan,Poland,Radoslaw Pyffel,Poland,0.0,2020-11-07T13:30:00,2,0,24,12,12,6,12,6,0,0
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Karol Ziolkowski,Poland,Piotr Pinkiewicz,Poland,0.0,2020-11-07T13:45:00,2,0,24,11,12,4,12,7,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Konrad Nowicki,Poland,Marek Pokwap,Poland,0.0,2020-11-07T13:45:00,2,0,24,7,12,4,12,3,0,0
Polish Challenger Series - Round 2,DoublesFree,Franciszek Tusinski,Poland,Jan Ochedalski,Poland,Karol Polesiak,Poland,Konrad Dzitkowski,Poland,0.0,2020-11-07T12:45:00,2,0,24,14,12,7,12,7,0,0
Polish Challenger Series - Round 2,DoublesFree,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,Bartosz  Targas,Poland,Franciszek Mrzyglod,Poland,0.0,2020-11-07T12:45:00,2,0,24,14,12,7,12,7,0,0
Polish Challenger Series - Round 2,DoublesFree,Bartosz  Targas,Poland,Franciszek Mrzyglod,Poland,Karol Polesiak,Poland,Konrad Dzitkowski,Poland,0.0,2020-11-07T13:00:00,1,0,24,6,12,6,12,0,0,0
Polish Challenger Series - Round 2,DoublesFree,Franciszek Tusinski,Poland,Jan Ochedalski,Poland,Bartosz  Targas,Poland,Franciszek Mrzyglod,Poland,0.0,2020-11-07T13:15:00,2,0,24,12,12,8,12,4,0,0
Polish Challenger Series - Round 2,DoublesFree,Franciszek Tusinski,Poland,Jan Ochedalski,Poland,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,0.0,2020-11-07T13:30:00,0,2,18,24,11,12,7,12,0,0
Polish Challenger Series - Round 2,DoublesFree,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,Karol Polesiak,Poland,Konrad Dzitkowski,Poland,0.0,2020-11-07T13:45:00,2,0,24,12,12,3,12,9,0,0
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Konrad Nowicki,Poland,,,1.0,2020-11-07T14:30:00,2,1,33,23,9,12,12,7,12,4
Polish Challenger Series - Round 2,SinglesFree,Grzegorz Staskiewicz,Poland,,,Bartlomiej Franczuk,Poland,,,1.0,2020-11-07T14:30:00,0,2,15,24,10,12,5,12,0,0
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Marek Pokwap,Poland,,,1.0,2020-11-07T14:30:00,2,1,36,30,10,12,12,6,14,12
Polish Challenger Series - Round 2,SinglesFree,Karol Polesiak,Poland,,,Patryk Kaminski,Poland,,,1.0,2020-11-07T14:30:00,0,2,16,24,8,12,8,12,0,0
Polish Challenger Series - Round 2,DoublesMixed,Ewa Kaminska,Poland,Patryk Kaminski,Poland,Bartosz Januszewski,Poland,Klaudia Mindak,Poland,1.0,2020-11-07T11:30:00,2,0,24,12,12,4,12,8,0,0
Polish Challenger Series - Round 2,DoublesMixed,Alan Galecki,Poland,Justyna Bartman,Poland,Alicja Bartnicka,Poland,Bartlomiej Franczuk,Poland,1.0,2020-11-07T11:30:00,0,2,17,24,8,12,9,12,0,0
Polish Challenger Series - Round 2,DoublesMixed,Bartosz Januszewski,Poland,Klaudia Mindak,Poland,Alan Galecki,Poland,Justyna Bartman,Poland,1.0,2020-11-08T10:30:00,0,2,20,24,9,12,11,12,0,0
Polish Challenger Series - Round 2,DoublesMixed,Ewa Kaminska,Poland,Patryk Kaminski,Poland,Alicja Bartnicka,Poland,Bartlomiej Franczuk,Poland,1.0,2020-11-08T12:30:00,2,0,24,15,12,8,12,7,0,0
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Bartlomiej Franczuk,Poland,,,1.0,2020-11-07T14:45:00,2,0,24,15,12,8,12,7,0,0
Polish Challenger Series - Round 2,SinglesFree,Alan Galecki,Poland,,,Patryk Kaminski,Poland,,,1.0,2020-11-07T14:45:00,1,2,32,34,11,12,12,10,9,12
Polish Challenger Series - Round 2,SinglesFree,Bartlomiej Franczuk,Poland,,,Alan Galecki,Poland,,,1.0,2020-11-08T10:00:00,2,0,24,13,12,6,12,7,0,0
Polish Challenger Series - Round 2,SinglesFree,Adrian Duszak,Poland,,,Patryk Kaminski,Poland,,,1.0,2020-11-08T12:00:00,2,0,24,14,12,7,12,7,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Karol Polesiak,Poland,Konrad Dzitkowski,Poland,1.0,2020-11-07T15:00:00,2,0,24,10,12,2,12,8,0,0
Polish Challenger Series - Round 2,DoublesFree,Konrad Nowicki,Poland,Marek Pokwap,Poland,Franciszek Tusinski,Poland,Jan Ochedalski,Poland,1.0,2020-11-07T15:00:00,2,1,28,28,4,12,12,11,12,5
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Bartosz  Targas,Poland,Franciszek Mrzyglod,Poland,1.0,2020-11-07T15:00:00,2,0,24,11,12,3,12,8,0,0
Polish Challenger Series - Round 2,DoublesFree,Karol Ziolkowski,Poland,Piotr Pinkiewicz,Poland,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,1.0,2020-11-07T15:00:00,0,2,0,24,0,12,0,12,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Konrad Nowicki,Poland,Marek Pokwap,Poland,1.0,2020-11-07T15:15:00,1,2,30,31,8,12,12,7,10,12
Polish Challenger Series - Round 2,DoublesFree,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,1.0,2020-11-07T15:15:00,2,0,24,17,12,6,12,11,0,0
Polish Challenger Series - Round 2,DoublesFree,Alan Galecki,Poland,Grzegorz Staskiewicz,Poland,Bartosz Januszewski,Poland,Patryk Kaminski,Poland,1.0,2020-11-08T11:00:00,0,2,14,24,7,12,7,12,0,0
Polish Challenger Series - Round 2,DoublesFree,Konrad Nowicki,Poland,Marek Pokwap,Poland,Adrian Duszak,Poland,Bartlomiej Franczuk,Poland,1.0,2020-11-08T13:00:00,0,2,10,24,3,12,7,12,0,0
San Diego Challenger Cup,SinglesFree,Gabriel Antunes Marendino,Brazil,,,Mirko Trapletti,Italy,,,0.0,2020-03-15T01:00:00,1,2,29,31,12,7,7,12,10,12
San Diego Challenger Cup,SinglesFree,Oscar Reyes,United States,,,Gabriel Antunes Marendino,Brazil,,,0.0,2020-03-15T01:00:00,2,0,24,9,12,6,12,3,0,0
San Diego Challenger Cup,SinglesFree,Oscar Reyes,United States,,,Mirko Trapletti,Italy,,,0.0,2020-03-15T01:00:00,2,0,24,15,12,6,12,9,0,0
San Diego Challenger Cup,SinglesFree,Davin  Randall,United States,,,Jason  Cid,United States,,,0.0,2020-03-15T01:00:00,2,0,24,15,12,5,12,10,0,0
San Diego Challenger Cup,SinglesFree,Jason  Cid,United States,,,Zoran Kazi,Hungary,,,0.0,2020-03-15T01:00:00,0,2,18,24,11,12,7,12,0,0
San Diego Challenger Cup,SinglesFree,Davin  Randall,United States,,,Joao Barreto,Brazil,,,0.0,2020-03-15T01:00:00,0,2,18,24,8,12,10,12,0,0
San Diego Challenger Cup,SinglesFree,Joao Barreto,Brazil,,,Zoran Kazi,Hungary,,,0.0,2020-03-15T01:00:00,2,0,24,13,12,5,12,8,0,0
San Diego Challenger Cup,SinglesFree,Jason  Cid,United States,,,Joao Barreto,Brazil,,,0.0,2020-03-15T01:00:00,0,2,15,24,8,12,7,12,0,0
San Diego Challenger Cup,SinglesFree,Davin  Randall,United States,,,Zoran Kazi,Hungary,,,0.0,2020-03-15T01:00:00,0,2,18,24,11,12,7,12,0,0
San Diego Challenger Cup,SinglesFree,Zaven  Ruvalcaba,United States,,,Jessica  Garcia,United States,,,0.0,2020-03-15T01:00:00,0,2,16,24,6,12,10,12,0,0
San Diego Challenger Cup,SinglesFree,Daniel Smith,United States,,,Nunno Pacano,Brazil,,,0.0,2020-03-15T01:00:00,0,2,21,24,11,12,10,12,0,0
San Diego Challenger Cup,SinglesFree,Nunno Pacano,Brazil,,,Jessica  Garcia,United States,,,0.0,2020-03-15T01:00:00,2,0,24,9,12,5,12,4,0,0
San Diego Challenger Cup,SinglesFree,Zaven  Ruvalcaba,United States,,,Daniel Smith,United States,,,0.0,2020-03-15T01:00:00,0,2,9,24,5,12,4,12,0,0
